order_id,customer_id,gender,age,city,product_category,product_price,quantity,payment_method,order_date,total_amount
1,1102,Female,23,Mansoura,Sports,3668.26,4,Cash,2023-11-30,14673.04
2,1435,Female,34,Cairo,Books,4260.08,5,Credit Card,2023-11-05,21300.4
3,1860,Female,55,Mansoura,Books,288.35,4,Cash,2023-01-16,1153.4
4,1270,Male,41,Aswan,Books,2549.56,1,Debit Card,2023-07-08,2549.56
5,1106,Male,27,Alexandria,Books,3508.06,1,Credit Card,2023-01-28,3508.06
6,1071,Female,25,Mansoura,Sports,2737.59,1,Credit Card,2023-06-12,2737.59
7,1700,Male,38,Aswan,Sports,3349.9,2,Cash,2023-11-13,6699.8
8,1020,Male,23,Aswan,Books,4098.48,2,Credit Card,2023-02-24,8196.96
9,1614,Male,38,Cairo,Home,1902.97,4,Vodafone Cash,2023-10-01,7611.88
10,1121,Male,56,Giza,Books,4250.91,3,Debit Card,2023-11-01,12752.73
11,1466,Male,41,Mansoura,Sports,856.43,3,Credit Card,2023-04-12,2569.29
12,1214,Male,50,Mansoura,Clothing,1390.89,4,Vodafone Cash,2023-02-11,5563.56
13,1330,Male,35,Mansoura,Books,264.56,2,Cash,2023-09-20,529.12
14,1458,Female,45,Aswan,Books,1853.91,5,Credit Card,2023-06-20,9269.550000000001
15,1087,Male,49,Cairo,Books,1930.55,4,Vodafone Cash,2023-07-27,7722.2
16,1372,Male,29,Aswan,Books,4036.09,3,Cash,2023-11-11,12108.27
17,1099,Male,59,Aswan,Electronics,3283.0,4,Vodafone Cash,2023-02-18,13132.0
18,1871,Male,44,Alexandria,Books,2211.78,4,Cash,2023-03-01,8847.12
19,1663,Male,27,Cairo,Sports,3277.96,1,Debit Card,2023-01-06,3277.96
20,1130,Male,63,Mansoura,Sports,311.28,2,Credit Card,2023-05-28,622.56
21,1661,Male,59,Giza,Electronics,942.34,1,Debit Card,2023-10-14,942.34
22,1308,Male,49,Mansoura,Books,3153.39,2,Debit Card,2023-07-30,6306.78
23,1769,Female,59,Aswan,Home,3224.77,4,Credit Card,2023-05-30,12899.08
24,1343,Male,43,Cairo,Books,3881.97,2,Debit Card,2023-03-26,7763.94
25,1491,Male,42,Cairo,Sports,2044.85,3,Debit Card,2023-06-09,6134.549999999999
26,1413,Male,28,Cairo,Clothing,3626.64,1,Vodafone Cash,2023-02-16,3626.64
27,1805,Male,40,Alexandria,Clothing,3435.7,4,Cash,2023-06-11,13742.8
28,1385,Female,51,Mansoura,Home,4818.8,3,Debit Card,2023-06-04,14456.400000000001
29,1191,Female,57,Alexandria,Books,1114.89,2,Credit Card,2023-08-18,2229.78
30,1955,Female,40,Giza,Electronics,2780.81,2,Vodafone Cash,2023-10-27,5561.62
31,1276,Female,46,Aswan,Books,3028.73,3,Cash,2023-06-07,9086.19
32,1160,Female,48,Alexandria,Home,4993.31,2,Debit Card,2023-06-10,9986.62
33,1459,Female,24,Alexandria,Home,1045.86,1,Debit Card,2023-09-04,1045.86
34,1313,Female,57,Aswan,Home,2639.93,5,Credit Card,2023-02-25,13199.65
35,1021,Female,50,Cairo,Clothing,1763.62,2,Debit Card,2023-05-31,3527.24
36,1252,Female,38,Aswan,Books,2653.17,4,Credit Card,2023-10-26,10612.68
37,1747,Female,19,Mansoura,Books,1199.04,2,Debit Card,2023-02-23,2398.08
38,1856,Female,35,Aswan,Electronics,285.68,4,Debit Card,2023-08-11,1142.72
39,1560,Female,64,Cairo,Home,2884.2,2,Credit Card,2023-09-11,5768.4
40,1474,Female,50,Aswan,Home,1712.48,2,Cash,2023-03-09,3424.96
41,1058,Female,54,Alexandria,Sports,950.61,4,Vodafone Cash,2023-02-22,3802.44
42,1510,Female,51,Giza,Sports,1653.48,1,Credit Card,2023-09-02,1653.48
43,1681,Female,37,Alexandria,Clothing,293.94,5,Cash,2023-02-09,1469.7
44,1475,Male,52,Giza,Books,4754.69,5,Cash,2023-12-08,23773.449999999997
45,1699,Female,35,Aswan,Electronics,2926.68,1,Credit Card,2023-12-17,2926.68
46,1975,Male,63,Mansoura,Electronics,4083.1,2,Vodafone Cash,2023-05-18,8166.2
47,1782,Female,41,Aswan,Home,2144.44,5,Credit Card,2023-09-23,10722.2
48,1189,Female,25,Cairo,Electronics,4521.41,1,Debit Card,2023-05-18,4521.41
49,1957,Male,47,Aswan,Home,2442.43,1,Debit Card,2023-10-19,2442.43
50,1686,Female,61,Giza,Books,2891.03,5,Cash,2023-07-29,14455.150000000001
51,1957,Male,27,Alexandria,Electronics,2484.38,4,Debit Card,2023-06-21,9937.52
52,1562,Male,40,Mansoura,Home,3679.73,3,Vodafone Cash,2023-07-04,11039.19
53,1875,Male,28,Aswan,Books,2854.95,4,Credit Card,2023-10-26,11419.8
54,1566,Female,19,Aswan,Books,1394.41,2,Vodafone Cash,2023-08-28,2788.82
55,1243,Female,43,Alexandria,Home,770.42,4,Cash,2023-07-30,3081.68
56,1831,Female,53,Mansoura,Home,3050.32,3,Debit Card,2023-12-29,9150.960000000001
57,1504,Male,50,Aswan,Clothing,2471.44,3,Debit Card,2023-05-31,7414.32
58,1130,Male,64,Aswan,Books,525.08,1,Credit Card,2023-05-04,525.08
59,1484,Female,30,Giza,Home,2008.31,2,Vodafone Cash,2023-02-18,4016.62
60,1818,Female,57,Giza,Books,2598.14,1,Vodafone Cash,2023-05-04,2598.14
61,1646,Female,42,Cairo,Electronics,4143.12,4,Credit Card,2023-03-09,16572.48
62,1020,Female,21,Alexandria,Sports,426.7,4,Debit Card,2023-12-24,1706.8
63,1840,Female,59,Mansoura,Sports,1775.05,5,Cash,2023-08-19,8875.25
64,1166,Male,36,Aswan,Home,4122.15,1,Cash,2023-12-12,4122.15
65,1273,Male,35,Aswan,Home,3259.7,1,Credit Card,2023-01-09,3259.7
66,1387,Male,54,Cairo,Books,1485.29,1,Credit Card,2023-09-23,1485.29
67,1600,Female,47,Aswan,Home,4234.41,1,Credit Card,2023-05-05,4234.41
68,1315,Male,36,Alexandria,Books,2491.8,3,Vodafone Cash,2023-11-17,7475.400000000001
69,1013,Male,40,Cairo,Home,2516.84,5,Debit Card,2023-04-22,12584.2
70,1241,Male,33,Alexandria,Books,4884.11,2,Debit Card,2023-11-24,9768.22
71,1776,Male,18,Cairo,Home,4738.23,2,Credit Card,2023-11-26,9476.46
72,1345,Male,29,Aswan,Clothing,1824.74,2,Cash,2023-02-23,3649.48
73,1564,Female,41,Cairo,Books,745.87,3,Vodafone Cash,2023-03-30,2237.61
74,1897,Male,51,Giza,Clothing,1662.05,5,Credit Card,2023-04-05,8310.25
75,1339,Female,25,Mansoura,Clothing,200.89,5,Vodafone Cash,2023-12-25,1004.4499999999999
76,1091,Female,35,Aswan,Clothing,152.8,3,Credit Card,2023-09-07,458.40000000000003
77,1366,Female,22,Mansoura,Clothing,2007.83,1,Vodafone Cash,2023-11-13,2007.83
78,1955,Female,43,Aswan,Electronics,4708.05,4,Cash,2023-06-15,18832.2
79,1454,Female,47,Mansoura,Sports,4363.22,1,Cash,2023-08-15,4363.22
80,1427,Male,30,Giza,Electronics,2581.64,2,Cash,2023-05-16,5163.28
81,1508,Male,36,Mansoura,Home,2847.87,1,Cash,2023-03-06,2847.87
82,1775,Female,46,Cairo,Home,79.37,3,Debit Card,2023-01-05,238.11
83,1942,Female,20,Mansoura,Sports,1116.73,2,Debit Card,2023-04-30,2233.46
84,1034,Female,43,Aswan,Sports,172.63,4,Vodafone Cash,2023-08-07,690.52
85,1205,Male,57,Alexandria,Sports,3784.97,2,Credit Card,2023-12-31,7569.94
86,1080,Female,29,Mansoura,Clothing,770.95,1,Debit Card,2023-02-12,770.95
87,1931,Male,19,Mansoura,Electronics,4351.78,5,Credit Card,2023-07-07,21758.899999999998
88,1561,Female,28,Mansoura,Home,3234.46,5,Vodafone Cash,2023-01-26,16172.3
89,1871,Male,61,Aswan,Electronics,1185.62,5,Credit Card,2023-09-24,5928.099999999999
90,1387,Female,45,Mansoura,Electronics,830.72,2,Cash,2023-06-11,1661.44
91,1001,Male,35,Aswan,Electronics,3156.74,5,Cash,2023-08-21,15783.699999999999
92,1389,Female,30,Aswan,Sports,4509.14,3,Debit Card,2023-05-10,13527.420000000002
93,1565,Male,54,Alexandria,Sports,3605.88,4,Vodafone Cash,2023-01-21,14423.52
94,1105,Male,39,Cairo,Home,1775.31,5,Debit Card,2023-05-08,8876.55
95,1771,Male,29,Aswan,Home,2957.55,3,Debit Card,2023-03-17,8872.650000000001
96,1821,Male,19,Giza,Home,1588.27,3,Debit Card,2023-03-14,4764.8099999999995
97,1476,Male,54,Mansoura,Electronics,4995.79,2,Vodafone Cash,2023-08-21,9991.58
98,1702,Male,24,Giza,Sports,3756.75,2,Cash,2023-12-09,7513.5
99,1401,Male,43,Mansoura,Clothing,3091.19,4,Cash,2023-04-16,12364.76
100,1729,Female,43,Alexandria,Electronics,2145.13,4,Debit Card,2023-01-09,8580.52
